query_id	labels	specificity
13137	32944 89	2.77e-05
13138	8	0.137973
13139	35	0.0368312
13140	3518 12	0.0002283
13141	1303	0.0034654
13142	31988 2065	1.25e-05
13143	2370 5	0.0006239
13144	17875	0.0005936
13145	107431	1.76e-05
13146	3123 490	0.0001441
13147	93	0.0154208
13148	1534 1530	0.0005331
13149	78366	1.44e-05
13150	346	0.0037554
13151	910 33	0.0001679
13152	13	0.0805928
13153	945 8	0.0002754
13154	2376	0.0032562
13155	4	0.113336
13156	107	0.0105398
13157	2757	0.0009586
13158	337	0.0063807
13159	11540	0.0003383
13160	26	0.0073
13161	11856	0.0003878
13162	6024	0.0029095
13163	2069 345	2.52e-05
13164	3102 29	0.0006067
13165	35	0.0368312
13166	6659	0.0011537
13167	41364	4.38e-05
13168	93	0.0154208
13169	46915	1.28e-05
13170	622 610	0.0005217
13171	7868 936	7.06e-05
13172	902	0.0050002
13173	100	0.0508944
13174	2175 336	0.0018767
13175	7097 464	0.0009111
13176	11808 89	0.0006221
13177	90475	9.7e-06
13178	33	0.034613
13179	932	0.0053541
13180	500	0.0015577
13181	2694 2390	9.98e-05
13182	4558 23	0.0015286
13183	17160 6	7.14e-05
13184	659 591	0.0001043
13185	4078 1077	2.42e-05
13186	38	0.0296922
13187	3593	0.0046015
13188	29	0.191599
13189	902	0.0050002
13190	28	0.0705726
13191	2105	0.0007682
13192	27798 5851	0.0001127
13193	13232 131	0.0001523
13194	1567	0.0038854
13195	6198 29	0.0001042
13196	28	0.0705726
13197	38	0.0296922
13198	5754 1712	7.81e-05
13199	3975	0.0019074
13200	22246 7217	2.94e-05
13201	28	0.0705726
13202	1145	0.0039091
13203	106461	1.72e-05
13204	40	0.0081678
13205	29	0.191599
13206	35	0.0368312
13207	38	0.0296922
13208	1360	0.0038998
13209	23257 933	3.43e-05
13210	95	0.0110695
13211	2040	0.0021805
13212	348	0.006714
13213	107	0.0105398
13214	89	0.170741
13215	8663 91	0.0006724
13216	3986 1045	8.8e-06
13217	4073	0.0028016
13218	38	0.0296922
13219	4011	0.002387
13220	6002	0.0007306
13221	28	0.0705726
13222	38	0.0296922
13223	21	0.0688177
13224	427 29	0.0004363
13225	2	0.0581971
13226	6338 11	0.0001377
13227	93	0.0154208
13228	95	0.0110695
13229	1036 33	0.0001145
13230	142	0.0086892
13231	4314 23	0.0001607
13232	100	0.0508944
13233	2064	0.0035905
13234	81110	1.53e-05
13235	11822	0.001037
13236	6310 2493	6.31e-05
13237	135029	1.41e-05
13238	142	0.0086892
13239	35	0.0368312
13240	49200	1.72e-05
13241	22951 7215	6.2e-05
13242	8228 944	0.0005632
13243	1515 89	0.0011001
13244	42	0.0085986
13245	90	0.0180512
13246	7527 490	6.52e-05
13247	26	0.0073
13248	28	0.0705726
13249	2467 881	2.19e-05
13250	336	0.0145691
13251	4324 810	0.000306
13252	35	0.0368312
13253	4333 549	0.0003261
13254	38	0.0296922
13255	3495	0.0011964
13256	90	0.0180512
13257	1004 89	0.000539
13258	1446	0.0011609
13259	98	0.0180067
13260	91	0.0236403
13261	11808 1540	0.000315
13262	23726 93	0.0003916
13263	11949 105	0.0007795
13264	407	0.002698
13265	9610 9004	3.06e-05
13266	38	0.0296922
13267	23311	7.04e-05
13268	7546	0.0038059
13269	8646 8643	0.0008363
13270	819	0.0018
13271	540 1	4.5e-05
13272	337	0.0063807
13273	337	0.0063807
13274	515	0.0058954
13275	17	0.0991156
13276	22922 1391	4.79e-05
13277	42085	9e-06
13278	3166	0.0011698
13279	2195	0.0012701
13280	0	0.0097939
13281	539 355	0.0006095
13282	3326 3	0.0004112
13283	560	0.0020447
13284	35	0.0368312
13285	3539 22	0.0001091
13286	35	0.0368312
13287	10755 6	0.0001341
13288	103	0.0137207
13289	13400	0.0007781
13290	26087 8104	4.54e-05
13291	8661 4052	0.0006269
13292	2532	0.0016721
13293	5647	0.0024526
13294	5214 3279	0.0008505
13295	7828 345	5.09e-05
13296	142	0.0086892
13297	8242	0.0006413
13298	6013 23	0.0003785
13299	25108 600	3.35e-05
13300	19225	1.87e-05
13301	1876 1473	3.81e-05
13302	128609	1.66e-05
13303	73094	2.11e-05
13304	1287	0.0037317
13305	2192 8	0.0005152
13306	95	0.0110695
13307	336	0.0145691
13308	2423 89	0.0004564
13309	40	0.0081678
13310	8652 5713	0.0003053
13311	28116 19	1.93e-05
13312	15351	6.86e-05
13313	580	0.004175
13314	6474 1952	0.000246
13315	69903	1.4e-05
13316	4727 14	0.0001317
13317	10696 5214	2.1e-05
13318	27305 8634	3.7e-05
13319	106	0.0203896
13320	13246 3523	0.0012141
13321	3091 9	0.0001448
13322	60744	9.2e-06
13323	4958	0.0016503
13324	27310 5713	0.0002509
13325	35	0.0368312
13326	7693 1313	3.23e-05
13327	4442	0.0042939
13328	4776 2199	6.72e-05
13329	8318 23	0.0003367
13330	7527 6	8.14e-05
13331	25	0.0176508
13332	17	0.0991156
13333	63325 464	2.74e-05
13334	515	0.0058954
13335	10169	0.0013941
13336	1391 89	0.0012874
13337	4449 20	0.0039979
13338	336	0.0145691
13339	2376	0.0032562
13340	55285	1.48e-05
13341	106	0.0203896
13342	25293 3642	2.48e-05
13343	8646 3608	1.91e-05
13344	10312 3279	7.08e-05
13345	49737	2.61e-05
13346	635 549	0.0004312
13347	2	0.0581971
13348	6274 605	9.68e-05
13349	2	0.0581971
13350	5532 23	0.0007656
13351	26	0.0073
13352	3295	0.0022961
13353	35	0.0368312
13354	2761 1985	0.000203
13355	598	0.0017981
13356	89	0.170741
13357	2694 5	0.0003994
13358	4073	0.0028016
13359	35	0.0368312
13360	3821	0.001661
13361	8616 5300	1.76e-05
13362	6474 2656	0.0002141
13363	124115	1.54e-05
13364	2180 6	4.75e-05
13365	142	0.0086892
13366	16	0.0909268
13367	573 23	0.0007318
13368	9888 5364	1.74e-05
13369	3740 1313	1.79e-05
13370	142	0.0086892
13371	5518 875	0.0001701
13372	4370 1080	0.0002009
13373	131	0.0051747
13374	35	0.0368312
13375	4454 7	0.0006207
13376	122806	1.49e-05
13377	2656 499	0.0001582
13378	945	0.0018727
13379	4192 2608	0.0001674
13380	89	0.170741
13381	17	0.0991156
13382	115784	1.47e-05
13383	18	0.09593
13384	10097 1614	4.88e-05
13385	8638 29	0.0008035
13386	36	0.0146104
13387	142	0.0086892
13388	29	0.191599
13389	6522 89	0.0001287
13390	2662 8	0.0001656
13391	8664 741	0.000652
13392	497 29	0.0005827
13393	90	0.0180512
13394	4336 20	0.0002351
13395	90	0.0180512
13396	18	0.09593
13397	15735 23	0.0003993
13398	95	0.0110695
13399	1147	0.0008294
13400	11691 5	0.0001269
13401	108366	1.24e-05
13402	1476 23	0.0012276
13403	11491	0.0026413
13404	928 23	0.0011717
13405	14	0.0863883
13406	1	0.0266844
13407	8645 5494	0.0008239
13408	70479	9.8e-06
13409	1147	0.0008294
13410	18	0.09593
13411	7893 6	0.0001794
13412	142	0.0086892
13413	8851 6605	0.0001068
13414	5894	0.0013396
13415	49507 2931	1.55e-05
13416	1476 847	0.0005446
13417	35	0.0368312
13418	45822	1.79e-05
13419	106	0.0203896
13420	920 848	2.91e-05
13421	3075 23	0.0013659
13422	2938 23	0.0008427
13423	56303	1.11e-05
13424	40840	1.64e-05
13425	29	0.191599
13426	25	0.0176508
13427	1553	0.0013853
13428	10557 652	0.0001669
13429	3971 1027	3.47e-05
13430	26	0.0073
13431	6444 3105	0.000609
13432	4	0.113336
13433	89	0.170741
13434	47678	7.7e-05
13435	98	0.0180067
13436	12465 1351	0.000377
13437	3904 1849	0.0001244
13438	18	0.09593
13439	28	0.0705726
13440	1351 23	0.0013966
13441	2495 654	0.0002476
13442	1022 8	0.0002705
13443	1027	0.0048896
13444	1446 9	0.0001631
13445	0	0.0097939
13446	31634	0.0002053
13447	3384	0.0020419
13448	345	0.034881
13449	2656 652	0.0002881
13450	9435 5525	0.0011071
13451	27376 4077	0.000153
13452	4052 2194	0.0007871
13453	8611 29	0.0007714
13454	2006	0.0054106
13455	35	0.0368312
13456	11130 899	4.57e-05
13457	3578 9	0.0003186
13458	2498 23	0.0005002
13459	6	0.12844
13460	126	0.0031473
13461	38	0.0296922
13462	2195 2193	0.000799
13463	42	0.0085986
13464	549 165	0.0001549
13465	848 529	6.24e-05
13466	2439 402	7.3e-05
13467	40	0.0081678
13468	113519	2.07e-05
13469	337	0.0063807
13470	91	0.0236403
13471	3248 23	0.0003146
13472	93	0.0154208
13473	16	0.0909268
13474	7369	0.0004518
13475	95	0.0110695
13476	35	0.0368312
13477	28	0.0705726
13478	1797 23	0.0001554
13479	25108 600	3.35e-05
13480	9285	0.0015632
13481	4098	0.0001386
13482	4	0.113336
13483	1433 13	0.0003762
13484	15	0.0905943
13485	4	0.113336
13486	756 746	0.0005355
13487	727	0.0018626
13488	35	0.0368312
13489	8	0.137973
13490	90475	9.7e-06
13491	6966 5396	7.03e-05
13492	1	0.0266844
13493	28	0.0705726
13494	2498 893	2.75e-05
13495	3531 23	0.0014964
13496	1895 14	0.0002723
13497	6255 605	0.0006136
13498	1	0.0266844
13499	1402 23	0.0020118
13500	28	0.0705726
13501	38	0.0296922
13502	8	0.137973
13503	26	0.0073
13504	2211 23	0.0003938
13505	586	0.0004641
13506	2	0.0581971
13507	1022 29	0.0004999
13508	336	0.0145691
13509	5844 936	5.56e-05
13510	1460 414	8.02e-05
13511	33	0.034613
13512	18	0.09593
13513	753	0.0037139
13514	21545	2.17e-05
13515	4	0.113336
13516	107368 15140	2.19e-05
13517	91	0.0236403
13518	35	0.0368312
13519	15898 142	0.0001115
13520	19	0.0869037
13521	7254 6038	7.16e-05
13522	24670	1.25e-05
13523	1515 648	0.000468
13524	7182 7142	5.95e-05
13525	42414	4.1e-05
13526	1445	0.0041447
13527	10333 8611	5.64e-05
13528	7595 23	0.0001778
13529	7248 4725	0.0001657
13530	2027	0.0036166
13531	1299 4	0.0002379
13532	2110 1985	3.12e-05
13533	1985 1315	5.28e-05
13534	2152 659	0.0001611
13535	2966 444	0.0002118
13536	2006	0.0054106
13537	4454	0.0049355
13538	2	0.0581971
13539	35	0.0368312
13540	414 23	0.0018663
13541	2	0.0581971
13542	815	0.0005164
13543	8	0.137973
13544	43494 8622	5.13e-05
13545	1	0.0266844
13546	10621 370	0.0001107
13547	6313	0.0005882
13548	8149 553	2.59e-05
13549	35	0.0368312
13550	2439	0.0041187
13551	1095	0.0024956
13552	9431 23	0.0004945
13553	3075 23	0.0013659
13554	43494 741	5.12e-05
13555	8	0.137973
13556	939 29	0.0003117
13557	6269 404	1.77e-05
13558	1772 18	0.0002071
13559	11812 1155	5.53e-05
13560	38	0.0296922
13561	90	0.0180512
13562	95	0.0110695
13563	3731	0.0034612
13564	61877 5085	2e-05
13565	4032 7	0.0004329
13566	19754 7851	1.89e-05
13567	2046	0.0029059
13568	30791 5452	0.000111
13569	4	0.113336
13570	711 637	8.63e-05
13571	336	0.0145691
13572	1040	0.004622
13573	12	0.0648527
13574	95	0.0110695
13575	28	0.0705726
13576	4115 11	0.0002341
13577	0	0.0097939
13578	106	0.0203896
13579	95	0.0110695
13580	35	0.0368312
13581	37534	1.42e-05
13582	4558 23	0.0015286
13583	95	0.0110695
13584	1002 6	0.0006135
13585	80767 8227	1.11e-05
13586	6469 931	2.1e-05
13587	107	0.0105398
13588	545 89	0.00054
13589	1985	0.0055809
13590	556 23	0.0002961
13591	15282	1.1e-05
13592	16451 23	9.51e-05
13593	100	0.0508944
13594	20682	2.01e-05
13595	336	0.0145691
13596	6274 902	0.0001746
13597	4	0.113336
13598	7108 1122	7.56e-05
13599	10326 6	4.95e-05
13600	67799	1.01e-05
13601	874 3	4e-05
13602	28	0.0705726
13603	1634 23	0.0017619
13604	174740	1.37e-05
13605	40164 5434	0.0005532
13606	6274	0.002363
13607	2700	0.0011872
13608	3105 1632	8.02e-05
13609	13	0.0805928
13610	345	0.034881
13611	90	0.0180512
13612	345	0.034881
13613	6259 4324	8.42e-05
13614	33	0.034613
13615	38	0.0296922
13616	142	0.0086892
13617	93	0.0154208
13618	91	0.0236403
13619	13246 13245	0.0012741
13620	2	0.0581971
13621	142	0.0086892
13622	515	0.0058954
13623	5692 3614	0.0004261
13624	2027	0.0036166
13625	97	0.0021158
13626	8713	0.0001026
13627	103	0.0137207
13628	35	0.0368312
13629	490 444	0.0002157
13630	3108 2380	3.81e-05
13631	1141 38	0.0024155
13632	4086 932	9.88e-05
13633	2694	0.0030938
13634	3646 90	0.0020284
13635	90	0.0180512
13636	6562 414	0.0001094
13637	10468 1024	2.09e-05
13638	11532 5941	2.73e-05
13639	4	0.113336
13640	2255	0.0010617
13641	4	0.113336
13642	38	0.0296922
13643	38	0.0296922
13644	11545 4220	2.71e-05
13645	1154 610	0.0002989
13646	10	0.028769
13647	14343 5152	7.29e-05
13648	100	0.0508944
13649	32429 3279	5.13e-05
13650	9	0.131031
13651	23262	0.0001401
13652	3723	0.0007787
13653	10	0.028769
13654	6014	0.0004366
13655	5	0.123527
13656	4403 6	0.0005656
13657	90	0.0180512
13658	75019	1.8e-05
13659	0	0.0097939
13660	2	0.0581971
13661	6234 876	8.32e-05
13662	1634 23	0.0017619
13663	60202	2.04e-05
13664	35	0.0368312
13665	154899	1.35e-05
13666	142	0.0086892
13667	1615	0.0049417
13668	3679	0.0005488
13669	8	0.137973
13670	10716 89	0.0006749
13671	35	0.0368312
13672	142	0.0086892
13673	611 89	0.000304
13674	9678	0.000333
13675	91	0.0236403
13676	904 89	0.0007838
13677	8	0.137973
13678	2620 23	0.0019923
13679	2	0.0581971
13680	348	0.006714
13681	26359 21730	0.0003278
13682	12704	1.58e-05
13683	95	0.0110695
13684	91114	9.8e-06
13685	558 18	0.0002702
13686	1876 23	0.0010046
13687	12	0.0648527
13688	106	0.0203896
13689	650 22	0.0002596
13690	35	0.0368312
13691	93	0.0154208
13692	5810 89	0.0001514
13693	8619 7213	9.77e-05
13694	7214 2195	0.0006751
13695	8660 8639	0.0006257
13696	1	0.0266844
13697	750	0.0044588
13698	3205 828	3.74e-05
13699	93	0.0154208
13700	1549	0.0020061
13701	6514 3904	2.22e-05
13702	5525 1980	0.0002647
13703	8628 2406	1.74e-05
13704	28385	1.13e-05
13705	4779 13	0.0001641
13706	337	0.0063807
13707	8613 7147	0.0001048
13708	11850	0.0005677
13709	28	0.0705726
13710	100	0.0508944
13711	2493 1310	0.0001979
13712	106	0.0203896
13713	4	0.113336
13714	103	0.0137207
13715	142	0.0086892
13716	1341 23	0.0003876
13717	28	0.0705726
13718	1987	0.0024574
13719	7358 4615	0.0007116
13720	4863 21	0.0001995
13721	610 23	0.0019553
13722	35	0.0368312
13723	8	0.137973
13724	28970 3545	5.1e-05
13725	58303 53537	2.24e-05
13726	81849	1.49e-05
13727	2064 23	0.0012638
13728	11502	0.0011506
13729	971 89	0.0001091
13730	6182 89	0.0005394
13731	345	0.034881
13732	8	0.137973
13733	10	0.028769
13734	6961	0.0017747
13735	18547 2724	0.0002786
13736	1634 1268	0.0004034
13737	4	0.113336
13738	8	0.137973
13739	609 5	0.0004
13740	8642 7	9.11e-05
13741	3197 1540	0.0001548
13742	95	0.0110695
13743	345	0.034881
13744	42	0.0085986
13745	2358 1952	6.47e-05
13746	38	0.0296922
13747	19	0.0869037
13748	14365	0.0004772
13749	2195 1119	0.0006795
13750	35	0.0368312
13751	4751 89	0.0013983
13752	29401 23	8.55e-05
13753	11822 6	0.0001669
13754	44577 15600	1.69e-05
13755	37054	3.52e-05
13756	142	0.0086892
13757	2532 932	3.6e-05
13758	8230 2	0.0004243
13759	5537 3279	0.0009022
13760	9	0.131031
13761	1016	0.0009166
13762	8628 8	0.0003396
13763	4	0.113336
13764	93	0.0154208
13765	18	0.09593
13766	7339	1.95e-05
13767	4653 89	0.000904
13768	8124 847	0.0006159
13769	1141 38	0.0024155
13770	7519 810	0.000125
13771	35	0.0368312
13772	7	0.133382
13773	4656 3820	0.0001055
13774	142	0.0086892
13775	100	0.0508944
13776	3200 23	0.0005963
13777	131	0.0051747
13778	5507 5	0.0002671
13779	20143	0.0004204
13780	29	0.191599
13781	1	0.0266844
13782	115093	1.63e-05
13783	137130	1.38e-05
13784	9995 2948	3.86e-05
13785	106	0.0203896
13786	1	0.0266844
13787	6589 6044	7.86e-05
13788	349	0.0052017
13789	28	0.0705726
13790	7582 1632	3.22e-05
13791	1445 1225	0.0001084
13792	5896 2765	2.91e-05
13793	2314	0.0023858
13794	8	0.137973
13795	3753 2776	7.46e-05
13796	40	0.0081678
13797	2694 24	9.82e-05
13798	6	0.12844
13799	38	0.0296922
13800	4	0.113336
13801	89	0.170741
13802	26784	0.0001597
13803	8230 5	0.000277
13804	13	0.0805928
13805	4840 4815	6.52e-05
13806	2497 29	0.0001934
13807	28	0.0705726
13808	8625 29	0.0007837
13809	1546 1027	8.78e-05
13810	5559 89	0.0004016
13811	25293 3642	2.48e-05
13812	39236	1.03e-05
13813	9	0.131031
13814	815 29	0.0001268
13815	4324 737	5.76e-05
13816	16102 1394	0.0001649
13817	8031	0.0022443
13818	8	0.137973
13819	5061 29	0.0002087
13820	3901 444	9.25e-05
13821	19	0.0869037
13822	3776	0.0018774
13823	2620	0.006262
13824	1283 131	0.0006746
13825	95	0.0110695
13826	3456 93	3.62e-05
13827	932	0.0053541
13828	26876 23	3.47e-05
13829	38	0.0296922
13830	8347 5537	0.000225
13831	26	0.0073
13832	36	0.0146104
13833	2376 590	1.9e-05
13834	932 7	0.0006682
13835	113	0.0071253
13836	1504 16	0.0001319
13837	93	0.0154208
13838	5267	9.4e-06
13839	38	0.0296922
13840	35	0.0368312
13841	3061 4	0.0001159
13842	2637	0.0013513
13843	94	0.0025313
13844	17	0.0991156
13845	5725 1004	0.0001532
13846	0	0.0097939
13847	19435 1347	0.0001971
13848	3279 8	0.0007166
13849	1207	0.0026284
13850	35	0.0368312
13851	569 8	3.07e-05
13852	367	0.0015641
13853	89	0.170741
13854	3456 648	0.0002159
13855	8228 1952	5.62e-05
13856	142	0.0086892
13857	137343	1.22e-05
13858	907 29	0.0003073
13859	10	0.028769
13860	90	0.0180512
13861	4291 2529	2.86e-05
13862	1	0.0266844
13863	753	0.0037139
13864	35	0.0368312
13865	67246	1.24e-05
13866	28	0.0705726
13867	91	0.0236403
13868	19	0.0869037
13869	90	0.0180512
13870	336	0.0145691
13871	7085 29	0.0008144
13872	93	0.0154208
13873	851 29	0.0011779
13874	11859	0.0007231
13875	3674	0.0010885
13876	4169 100	7.53e-05
13877	6601	0.0001317
13878	142	0.0086892
13879	8	0.137973
13880	38	0.0296922
13881	103686	1.2e-05
13882	103	0.0137207
13883	35	0.0368312
13884	2787	0.0017039
13885	1402 23	0.0020118
13886	62905	1.03e-05
13887	40	0.0081678
13888	1687 100	9.06e-05
13889	8667 8661	0.0005489
13890	6088 23	0.0005827
13891	103	0.0137207
13892	93	0.0154208
13893	55931	1.68e-05
13894	2	0.0581971
13895	2	0.0581971
13896	106	0.0203896
13897	8638 468	0.000822
13898	89	0.170741
13899	35	0.0368312
13900	4477 933	0.0001989
13901	515	0.0058954
13902	91	0.0236403
13903	53902 8	3.93e-05
13904	753	0.0037139
13905	137130	1.38e-05
13906	0	0.0097939
13907	90	0.0180512
13908	2380 29	0.0002333
13909	21385 380	0.0001072
13910	6088	0.0017501
13911	3578 17	0.0002744
13912	10798 843	4.95e-05
13913	91	0.0236403
13914	6653 4652	3.41e-05
13915	3676	0.003597
13916	35	0.0368312
13917	28	0.0705726
13918	6728 12	0.0001342
13919	90	0.0180512
13920	3531	0.0030088
13921	17234	1.2e-05
13922	6936 784	3.62e-05
13923	28076 8631	5.17e-05
13924	35	0.0368312
13925	35	0.0368312
13926	25476 12607	0.0001508
13927	418	0.0016651
13928	42	0.0085986
13929	3676 5	0.0004811
13930	2787 29	0.0004248
13931	1893 9	0.0004426
13932	93	0.0154208
13933	12708 9	5.65e-05
13934	2259 650	0.0003707
13935	0	0.0097939
13936	590	0.0038276
13937	3536 7	0.000109
13938	95	0.0110695
13939	106	0.0203896
13940	90	0.0180512
13941	35	0.0368312
13942	748 93	0.0001231
13943	515 7	0.0007359
13944	7651 1527	3.59e-05
13945	2435 1840	5.37e-05
13946	4449 23	0.0016862
13947	107	0.0105398
13948	1904 28	0.0003349
13949	8620	0.0008561
13950	95	0.0110695
13951	21	0.0688177
13952	41007 14958	1.05e-05
13953	35	0.0368312
13954	33	0.034613
13955	35	0.0368312
13956	2	0.0581971
13957	49769	1.63e-05
13958	89	0.170741
13959	1549	0.0020061
13960	4086 640	4.61e-05
13961	90	0.0180512
13962	572 23	0.0005583
13963	1409 9	0.0003989
13964	3713 3129	4.03e-05
13965	4	0.113336
13966	10703 19	5.22e-05
13967	93	0.0154208
13968	7994 17	0.0001109
13969	32931	0.0002287
13970	6167 2435	0.0002996
13971	348	0.006714
13972	8871 6038	0.0001433
13973	3028 28	0.0004385
13974	19	0.0869037
13975	1	0.0266844
13976	10125 91	0.0001063
13977	1987 1849	0.0003634
13978	6858 648	0.0003016
13979	7909 1980	1.92e-05
13980	13604	0.0007469
13981	2390 91	4.69e-05
13982	515	0.0058954
13983	3537 610	0.0001996
13984	12	0.0648527
13985	10702	0.0013775
13986	8707	0.0002524
13987	3588	0.0032742
13988	16498 29	5.28e-05
13989	2	0.0581971
13990	4209	0.0011658
13991	90	0.0180512
13992	35	0.0368312
13993	21140	0.0001591
13994	35	0.0368312
13995	3975 1476	5.69e-05
13996	4661	0.0014952
13997	610 19	0.0003644
13998	1038 89	0.000731
13999	336	0.0145691
14000	27285 8642	4.42e-05
14001	14036 14	2.89e-05
14002	1225 936	0.0001604
14003	3808 933	0.0003739
14004	91	0.0236403
14005	662	0.0005415
14006	35	0.0368312
14007	3269	0.0031899
14008	7085 16	7.34e-05
14009	3901	0.0012526
14010	16930	0.0006372
14011	4713	5.22e-05
14012	4955 23	0.0008943
14013	3901 11	8.99e-05
14014	95	0.0110695
14015	5507	0.0018766
14016	4760 100	8.79e-05
14017	93	0.0154208
14018	4471 490	5.39e-05
14019	4396 4389	0.0001595
14020	5820 3427	0.0003118
14021	59571	1.73e-05
14022	3262 2338	7.12e-05
14023	15675 1122	3.81e-05
14024	1215	0.0013246
14025	598	0.0017981
14026	9435 2006	0.0010968
14027	35	0.0368312
14028	848	0.0035782
14029	8649 3245	0.0001067
14030	4	0.113336
14031	4078	0.0010746
14032	29	0.191599
14033	20521	6.83e-05
14034	81104	1.24e-05
14035	6116 19	0.0004957
14036	801 146	0.000582
14037	2	0.0581971
14038	11798 393	0.0001096
14039	17172 1391	4.63e-05
14040	43494 3614	5.71e-05
14041	95	0.0110695
14042	348	0.006714
14043	3165 630	0.0002671
14044	4661	0.0014952
14045	8	0.137973
14046	539 23	0.0014103
14047	35	0.0368312
14048	8635 8	0.0003386
14049	93	0.0154208
14050	6611 449	3.15e-05
14051	28	0.0705726
14052	4255 23	0.0004336
14053	515	0.0058954
14054	1277	0.0024261
14055	106	0.0203896
14056	8770	0.0007922
14057	93564	1.74e-05
14058	455 23	0.0003174
14059	2	0.0581971
14060	10097	0.0012129
14061	16109 15393	9.65e-05
14062	6001 3879	0.0007368
14063	13638	1.17e-05
14064	3200 938	0.0001367
14065	106	0.0203896
14066	1080 98	0.0033827
14067	63830	1.2e-05
14068	348	0.006714
14069	1310 23	0.0016571
14070	1080 19	0.0004068
14071	590	0.0038276
14072	12877	0.0006069
14073	8	0.137973
14074	8272 1131	4.32e-05
14075	1268 89	0.0016947
14076	851 6	0.0006995
14077	19	0.0869037
14078	16109	0.0008198
14079	8181 14	0.0002685
14080	335	0.0072052
14081	106	0.0203896
14082	0	0.0097939
14083	1305	0.0042337
14084	1966 29	0.0005619
14085	72452	2e-05
14086	40	0.0081678
14087	3535 3102	4.81e-05
14088	2063	0.0045856
14089	345	0.034881
14090	2152 1985	3.23e-05
14091	6962 606	0.0001715
14092	15039	0.0004595
14093	490 29	0.0007859
14094	6265 23	0.0001527
14095	31359	1.53e-05
14096	3119	0.0029991
14097	91	0.0236403
14098	2	0.0581971
14099	348	0.006714
14100	20	0.0851688
14101	8657 7358	0.0005395
14102	51	0.0016532
14103	49904	1.48e-05
14104	4	0.113336
14105	20904 2765	2.45e-05
14106	16	0.0909268
14107	40	0.0081678
14108	35	0.0368312
14109	2	0.0581971
14110	2289	0.0019961
14111	28	0.0705726
14112	8794	0.0007015
14113	29	0.191599
14114	1926 1498	2.69e-05
14115	38	0.0296922
14116	5537 2776	0.0007692
14117	7540 1391	2.23e-05
14118	6474 425	8.82e-05
14119	26	0.0073
14120	933	0.0050898
14121	8	0.137973
14122	106	0.0203896
14123	50611 1391	3.34e-05
14124	15735 1476	4.51e-05
14125	8	0.137973
14126	124516	1.37e-05
14127	8	0.137973
14128	16	0.0909268
14129	1281	0.0015705
14130	33629 8658	0.0001012
14131	95	0.0110695
14132	97295	1.12e-05
14133	28	0.0705726
14134	125639	1.61e-05
14135	103	0.0137207
14136	3848 648	4.14e-05
14137	10	0.028769
14138	100	0.0508944
14139	33760 11799	2.2e-05
14140	98	0.0180067
14141	93	0.0154208
14142	37783 9666	0.0001265
14143	2728 630	7.61e-05
14144	8645 5029	0.0008094
14145	19726	0.0002055
14146	21695 89	0.0001166
14147	29420 8639	6.26e-05
14148	2339 93	9.96e-05
14149	2966 650	0.0003839
14150	103	0.0137207
14151	4859	0.0054381
14152	1444 932	0.0001914
14153	67943	1.3e-05
14154	90	0.0180512
14155	7693 1313	3.23e-05
14156	90	0.0180512
14157	2656	0.0052612
14158	86774	1.85e-05
14159	38	0.0296922
14160	2431	0.0025245
14161	106	0.0203896
14162	4618	0.0014493
14163	851 29	0.0011779
14164	5770	0.002457
14165	6083 3239	7.4e-05
14166	2437 12	0.0003112
14167	8912 7133	1.64e-05
14168	11491 13	0.000196
14169	515	0.0058954
14170	87464	1.06e-05
14171	1838 1527	0.0001095
14172	336	0.0145691
14173	4	0.113336
14174	4703 29	0.0001542
14175	6915 1893	2.66e-05
14176	1957 654	4.87e-05
14177	3667 1360	2.73e-05
14178	4	0.113336
14179	4315 414	8.18e-05
14180	1564 20	0.000268
14181	6961 29	0.0004341
14182	5434	0.0027697
14183	11138 5069	1.68e-05
14184	10714	0.0013309
14185	68721	1.13e-05
14186	605	0.0044168
14187	600 434	4.25e-05
14188	5518 1534	0.0001733
14189	8	0.137973
14190	27376 2642	0.0001705
14191	99	0.0051176
14192	12651 8643	5.15e-05
14193	102	0.0058842
14194	14046	0.000193
14195	89	0.170741
14196	1540 11	0.0003945
14197	83813	9.8e-06
14198	2256	0.0029699
14199	4442 12	0.0004726
14200	102	0.0058842
14201	12929 3808	0.0001577
14202	35	0.0368312
14203	2169	0.0047348
14204	24	0.0499079
14205	354	0.0041786
14206	8636 5498	7.58e-05
14207	598	0.0017981
14208	17	0.0991156
14209	90	0.0180512
14210	10123	9.5e-06
14211	17	0.0991156
14212	40	0.0081678
14213	1508 89	0.00121
14214	1632 1313	7.87e-05
14215	82346	1.02e-05
14216	2847	0.0035251
14217	95	0.0110695
14218	3040 23	0.0011909
14219	8629 2351	3.29e-05
14220	2094	0.0018301
14221	93	0.0154208
14222	910 96	0.0015372
14223	103	0.0137207
14224	3908	0.0023248
14225	348	0.006714
14226	15890 968	2.75e-05
14227	4487 7	0.0001808
14228	3102 1175	0.0003476
14229	902 20	0.0004147
14230	515	0.0058954
14231	958	0.0002906
14232	3273 8	0.0005953
14233	1433	0.0048384
14234	142	0.0086892
14235	6858 4892	8.79e-05
14236	348	0.006714
14237	91	0.0236403
14238	5893 19	0.0003419
14239	8	0.137973
14240	3279 2212	0.0008654
14241	455	0.0013976
14242	99	0.0051176
14243	8638 968	0.0008434
14244	8	0.137973
14245	35	0.0368312
14246	1315 19	0.0002547
